Utterance,Emotion,Cause
I felt very lonely when my partner decided to leave me for someone else.,__lonely__,break-up
"I broke up with my boyfriend last week, and nothing is the same without him",__lonely__,break-up
"I was on a trip to a heavy metal festival in Las Vegas. While there, my girlfriend broke up with me, and we were still staying in the same room.",__lonely__,break-up
"When my last ex ghosted me after things were going really well, I felt lost. I had no idea what I'd done wrong, so I was forced to assume that it was something to do with my personality. That didn't help matters.",__lonely__,break-up
When my ex boyfriend of over 4 years suddenly just up and left me for another woman I didnt know what to do with myself. I was so used to doing everything with him all the time and it was really hard for me.,__lonely__,break-up
My girlfriend broke up with me recently. Now I'm very lonely.,__lonely__,break-up
My long term boyfriend and I broke up recently. I'm so lost right now.,__sad__,break-up
My girlfriend broke up with me recently. Things just didn't seem to work out,__sad__,break-up
"I broke up with my girlfriend last week and it was really hard, we where together for 2 years.",__sentimental__,break-up
"i was really sad when my girlfriend broke up with me, it was devastating but i managed to overcome it",__sentimental__,break-up
"Today when I was home alone I was snuggling with a stuffed bunny my ex got me, because I missed him. I feel so pathetic.",__lonely__,break-up
I miss being in high school. I still remember my old girlfriend fondly,__nostalgic__,break-up
"I was going through my photos today and I saw a picture of me and my ex together. It just made me feel odd , I miss him.",__sentimental__,break-up
"When I went through one of my unpacked boxes, I found some of my ex-girlfriend's old clothes that she never picked up. I really missed her, and I started thinking about all the good times we enjoyed together.",__nostalgic__,break-up
My girlfriend broke up with me. She did this right before my birthday.,__devastated__,break-up
My girlfriend broke up with me and got married to an investment banker. ,__jealous__,break-up
I was unhappy when my girlfriend broke up with me.,__sad__,break-up
"I am nervous about starting my new job. I want to do well, but it's so different.",__apprehensive__,others
I started a new job. I was worried about proving myself all over again.,__apprehensive__,others
Tomorrow I start my new job teaching kids. I really hope it goes well!,__anxious__,others
I started my first office job after college and didn't know what to expect.,__apprehensive__,others
I started a new job last month I was very nervous on my first day.,__apprehensive__,others
"We have homeschooled our daughter for the past 3 years. This year, she has decided to return to public school.",__anxious__,others
"I'm really not sure what to do; my wife is having our baby next week and I don't think we're ready for her! I've read parenting books and talked to my own therapist about it, but I'm just a nervous wreck.",__apprehensive__,others
We are moving soon and I'm so ready to find out where to. I am ready to plan the move but hard to when you know nothing.,__anxious__,others
I'm getting cold feet about moving to another city.,__apprehensive__,others
We moved into a very old house that was built 200 years ago. Every creek and crack is spooky.,__afraid__,others
I decided to go back to school for a career change after working at my job for 12 years. I didn't know if I was making a good decision.,__apprehensive__,others
"I was really apprehensive when I went to university at the age of 30. I was scared that I wouldn't be able to connect with the younger students, and that I wouldn't be smart enough to do well. I was also unsure if it would advance my career.",__apprehensive__,others
My family and I are close to aquiring a new home. It is a home in need of some repairs and we can't wait to get started on renovations.,__anticipating__,others
It was my sons first day of school the other day. I was really nervous till he got off the bus.,__anticipating__,others
"I'm starting a new job next week, and I am super nervous.",__anxious__,others
My son is starting kindergarten in a few weeks. I'm wondering how I will handle that as a stay at home mom.,__anxious__,others
I'm starting university in two days and I'm kind of stressed.,__anxious__,others
I am moving out of this country soon and I'm worried about my university.,__anxious__,others
I was nervous for my first day of college.,__apprehensive__,others
"Now that I know that soon I'll need to move to a different city, I feel a bit down.",__sad__,others
"I had a friend's boyfriend that hit on me, even though I am also married, and he was with my good friend for 5 years! He makes me sick!",__disgusted__,disloyalty
A now ex-friend of mine revealed a very private secret I told her in confidence not only to our mutual friends but the entire internet! I couldn't believe she did that to me.,__furious__,disloyalty
I got so angry when a friend of mine tried to make a pass at my girlfriend. I am thinking about confronting him.,__furious__,disloyalty
My mother-in-law told a secret of mine that she promised she would never tell. It hurt me and I really had to work on trusting her with other things I tell her,__angry__,disloyalty
I was disgusted when my dad left me,__disgusted__,disloyalty
"I found out my wife was having an affair with one of her co-workers, i had him over at our house and was kind to him.",__furious__,disloyalty
"One time my husband was acting a bit to helpful to a woman we know. He said he was only trying to be nice, but I felt he was being too friendly. Maybe I overreacted.",__jealous__,disloyalty
my husband doesn't seem interested in me anymore. I think he may have eyes for someone else.,__jealous__,disloyalty
I just found out my husband is cheating on me. I am so disgusted not sure what to do next.,__angry__,disloyalty
"After being married to my first wife for 8 years, I found out she was having an affair behind my back. It was not a very good time for me.",__angry__,disloyalty
I cannot believe that my wife cheated on me!,__furious__,disloyalty
Found out my wife was dating someone else a year before we got married while we were dating. It's not a good day today.,__furious__,disloyalty
"Many years ago, my husband was acting a bit too 'chivalrous' to a friend of mine, which I felt was a bit too friendly. He said he was just being nice, but I felt like he found her attractive.",__jealous__,disloyalty
I was surprised when my wife left me.,__jealous__,disloyalty
I am not sure how to tell my husband how it makes me feel when he is flirting with other women.,__jealous__,disloyalty
i caught my husband looking at another woman.,__jealous__,disloyalty
my husband has been texting a woman he works with.,__jealous__,disloyalty
I was sad when my wife left me.,__sad__,disloyalty
I am terrified that my wife is going to leave me.,__terrified__,disloyalty
Ex partner was being dishonest.,__ashamed__,disloyalty
"My boyfriend kept claiming he wasn't drinking, but I found out he was lying about it. I found a bunch of empty liquor bottles in his room.",__furious__,disloyalty
There is a few different girls that work with my husband that over the years have hit on him. I know I trust him but they still bother me.,__jealous__,disloyalty
"I recently found out that my girlfriend has been cheating on me with another woman. She promised me that she wasn't that type of girl. Needless to say, I'm quite upset about it.",__angry__,disloyalty
"I felt betrayed when my girlfriend kissed another guy at a party. She was drunk, true. But still.",__disappointed__,disloyalty
I felt let down by my girlfriend when she decided to move some money out of our joint account. She never told me about that.,__disappointed__,disloyalty
i was so angry when I found out my girlfriend kissed a friend of mine. I felt like punching the wall.,__furious__,disloyalty
One day I found out that my boyfriend was texting his ex-girlfriend. I think he likes her more than he likes me,__jealous__,disloyalty
I caught my girlfriend kissing her ex at a party the other night. She seemed to really be in to it. I got pretty upset.,__jealous__,disloyalty
When I found emails between my ex wife and the person she was sleeping with behind my back.,__devastated__,disloyalty
I was so angry when I found out that my girlfriend cheated on me... dont know how i can forgive her.,__furious__,disloyalty
"When my ex girlfriend cheated on me, I was so angry.",__furious__,disloyalty
I went on a date with my ex's best friend while we were dating.,__guilty__,disloyalty
My friends girlfriend kissed me at a party.,__guilty__,disloyalty
"I cheated on my ex girlfriend, and I felt bad about it ever since.",__guilty__,disloyalty
I noticed my girlfriend was talking to other guys. She was spending a lot of time on the phone texting them as well.,__jealous__,disloyalty
"When someone talks down to me, it makes me sad.",__sad__,others
I have to go to a big gathering and make a speech. I don't really know the people and not sure how I will be received.,__apprehensive__,others
"i recently burned my hair with my hair drier and it looks so bad, i wonder what people think when they see me with my hair like that.",__embarrassed__,others
"The last time we went to the fair, I tripped over a big cord and fell! There were so many people around that saw me fall!",__embarrassed__,others
I once walked around the grocery store with my fly down. When I realized it I went to zip up and a lady with kids came round the corned at the same time.,__embarrassed__,others
I was walking back to the table my family was sitting at in a restaurant and somehow accidentally sat down at the wrong table.,__embarrassed__,others
I was walking down the sidewalk of a busy street and caught my foot on a root and went face first into a big flower bed.,__embarrassed__,others
Didn't realize my pants fell down in public,__embarrassed__,others
"The last time I went to the fair, I tripped over a big cord and fell down. There were so many people around and I wanted to run and hide!",__embarrassed__,others
there was this one time when I went to my friends 16th party. When I was walking in her house I ran smack dab into their glass door. It was so clean that I didn't see it. I was mortified and the funny part is that I one a door prize later that evening,__embarrassed__,others
There was this one time I was invited to my friends birthday party. We were all about to walk in the house and I ran smack into the glass door. It was very clean. Later on I won the door prize.,__embarrassed__,others
"In highschool, I drank too much and fell asleep at a party. I passed out in front of the door and everybody coming and going had to step over me.",__embarrassed__,others
"I went swimming the other day and when I jump into the water and came back up, my bathing suit top was pulled over my breast and I was wandering why everyone was staring at me.",__embarrassed__,others
I slipped and feel at work the other day. Several people saw it. I wanted to just crawl in a hole and hide afterwards.,__embarrassed__,others
"Once, I was showing some people around the downtown area in my city. While at dinner, I soiled myself, and had to wash off in the sink in the small bathroom. An employee opened the door, and there I was, washing my pants.",__embarrassed__,others
I tripped and fell in front of some people.,__embarrassed__,others
I drank a lot of alcohol at a BBQ party and puked.,__embarrassed__,others
I tripped over a big cord at the fair last year and fell down! It was in front of many people and I wanted to disappear!,__embarrassed__,others
I was at the grocery store the other day and I wasn't paying attention because I was looking at my phone. I hit a display and knocked everything over. I was hoping no one was around and wouldn't notice but there were a few people staring directly at me and my face was bright red.,__embarrassed__,others
Once on my way to work I slipped getting off the bus. I just laid there on the ground until the bus drove away. I wanted to hide in a cave forever.,__embarrassed__,others
There is a girl I like. I want to ask her out. If she says no I'm afraid it will ruin our friendship.,__apprehensive__,others
I got drunk and embarrassed myself in front of my friends.,__ashamed__,others
One time when I feel off my bike in front of all of my friends I was embarrassed.,__embarrassed__,others
I have been going for my friends wedding there was a small problem occoured.,__ashamed__,others
I dropped my dang coffee on the group and not only that but it splashed me as well.,__angry__,others
I was in the grocery store and dropped a can of pasta sauce and it made a huge mess.,__embarrassed__,others
"I just went to get an oil change the other day, and after I dropped it off, the mechanic said I didn't need one for another 1,000 miles. Felt like such a fool.",__embarrassed__,others
I wet my pants because I had a dream that I was going to the restroom.,__ashamed__,others
I have been working out at the track to get my sprint times up. But my 100 yard dash still takes over 6 seconds I am so slow.,__ashamed__,others
"It has been a very, very long time since I've wet the bed, probably over a decade. I don't even know how it happened. I didn't have very much to drink last night, I didn't have a scary dream, nothing like that. How unfortunate.",__ashamed__,others
"One time during kindergarten, I really needed to go to the restroom. The teacher did not let me so I soiled myself.",__ashamed__,others
I tried to spin my ball while bowling and ended up just throwing it. My face was so red!,__embarrassed__,others
I keep having these dreams that I am out in public and somehow my clothes disappear. It's awful.,__embarrassed__,others
I went to work with my pants inside out.,__embarrassed__,others
I dropped all my food in the cafeteria the other day. Everybody was staring at me.,__embarrassed__,others
I fainted on a plane!,__embarrassed__,others
I didn't notice that I had a sock stuck to the back of my shirt all day!,__embarrassed__,others
"My cell phone played a video out loud, which I had never watched, and it had profanity. This happened while I was checking out at the store yesterday.",__embarrassed__,others
"I went around work all day today with a hole in my pants, right on my bottom. Nobody told me until I was leaving. I have no idea how many people noticed!",__embarrassed__,others
One time my stomach made a loud noise while I was taking a test. Everyone thinks I cut the cheese.,__embarrassed__,others
I was in a rush this morning and didn't realize I had put on two different colored sox. It was really embarrassing and I hope no one noticed.,__embarrassed__,others
I pooed my pants one day at work. I have MS and sometimes during flare ups i have bowel control problems.,__embarrassed__,others
I recently went to the pool. I lost my swim trunks and felt awkward!,__embarrassed__,others
I spent ten minutes looking for my car keys while my friends were waiting for me and they were in my pocket the whole time.,__embarrassed__,others
I was playing a board game with some friends and I ended up spilling my drink all over the table by accident.,__embarrassed__,others
I sat in something wet and didn't know it. Walked around all day with a wet rear.,__embarrassed__,others
I felt very unpleasant last week when I fell to the ground my first time skateboarding.,__embarrassed__,others
My car got soaked from the rain I sat in my seats and got my pants wet and had to walk in the gas station I was ashamed it looked like I wet myself lol.,__embarrassed__,others
I dropped my grocery bag in the parking lot and it spilled everywhere.,__embarrassed__,others
I just found out that I've been walking around all day with a hole in the back of my pants. I can't believe that no one told me.,__embarrassed__,others
"I recently sent an email I shouldn't have after a night of drinking. I woke up in a panic after and hoped it was a dream but nah, I really did send the email. I feel so foolish.",__embarrassed__,others
I used a public restroom. Afterwards I walked around the store. I had been walking around with toilet paper stuck to my shoe the entire time!,__embarrassed__,others
I went out to lunch with my kids the other day. My daughter needed help opening her dipping sauce. Nothing like it squirting all over me from the waste up!,__embarrassed__,others
"When I was in second grade, I wet my pants in the middle of class.",__embarrassed__,others
When I left the bathroom in high school once I had toilet paper stuck to my shoe.,__embarrassed__,others
"One time when using the public restroom, I had toilet paper handing from my shoe.",__embarrassed__,others
"My husband's grandmother and I were very close. We hung out and talked every day. One Friday she called me and asked me to go to breakfast with her. While at breakfast, she told me that her and her husband were going on vacation. She was so excited. They left the next morning and I called and told her to have fun and be safe. She told me she would and that she loved, and I told her I loved her. Early the next morning, we found out that she had a heart attack and had died. I was heart broken.",__devastated__,family_death
My father passed away when I was 33 years old.,__devastated__,family_death
My father passed away 2 1/2 years ago. We didn't know he had a life-threatening illness and it really traumatized our family. The unexpected loss was so agonizing and painful for us.,__devastated__,family_death
My father unexpected passed away around 2 1/2 years ago. We never thought he would be leaving us this soon and it was very traumatic to me.,__devastated__,family_death
My aunt recently passed away after a long battle with Alzheimer's disease. I'm so sad at the loss.,__devastated__,family_death
"My father passed away in November, it's made me feel empty ever since.",__devastated__,family_death
I'm devastated by my mother's death.,__devastated__,family_death
My mother died.,__devastated__,family_death
My dad died of cancer in 2012.,__devastated__,family_death
Recently my grandma passed away. She lived far from us most of our lives but at the end she was sick so we moved her down here and I really had fun connecting with her as an adult again. It was a hard day when she died,__sad__,family_death
"I'm an emotional mess today, found out my dad passed away. Want to attend the funeral but tickets are expensive.",__sad__,family_death
I was sad when my dad died,__sad__,family_death
"I passed by my grandma's old house today, she passed last year. It really brought me down.",__sad__,family_death
My father was diagnosed with stage 4 brain cancer. It only took a few months for him to pass away because of it.,__sad__,family_death
I got news that my grandfather passed away. Nobody saw it coming.,__sad__,family_death
"my father recently passed suddenly, i was devastated.",__sad__,family_death
I always get down and blue whenever memories of my dad pops into my head. He passed away last year and i miss him so much.,__sentimental__,family_death
"When I was going through my old photo albums this morning, I came across a picture of my mother and me. It reminded me of a much simpler time, before she abandoned the family and joined a nudist colony. Ah, she was the best. I miss her.",__sentimental__,family_death
I think about my mother and I getting really sad. She has been dead for 15 years now.,__sentimental__,family_death
I always get sad thinking about my mom.. She passed away when i was 12.,__sentimental__,family_death
"A time that I was feeling a bit nostalgic, was this last vacation a few weeks ago. It made me think of the last vacation with my father, before he passed away.",__sentimental__,family_death
I recently remembered a sweet memory of my aunt who recently passed away. She would give hundreds of dollars of school supplies to kids in need each year.,__sentimental__,family_death
I was feeling pretty reminiscent when we went on vacation. I starting thinking about the last vacation we had with my father before he passed away.,__sentimental__,family_death
I have this knife that I carry everyday. My dad gave it to me before he died.,__sentimental__,family_death
After my granddad passed I kept his necklace it means so much to me even though I get emotional over it.,__sentimental__,family_death
"When my sister passed away several years ago, I had such a hard time with the loss. I felt very much separate from others in dealing with my grief.",__lonely__,family_death
I feel down and blue whenever thoughts about my brother pop into my head. We lost him 5 years ago,__sad__,family_death
my brother would've turned 34 today,__devastated__,family_death
My 32 year-old son died of a sudden heart attack. I was with him the day before.,__devastated__,family_death
I was filled with despair when my grandma died. She was always the one i relied upon.,__devastated__,family_death
"When my grandparents died, I was extremely upset for a few months.",__devastated__,family_death
I lost my cousin last month. I feel so devastated.,__sad__,family_death
"My grandmother recently passed. We were close, so it's been hard.",__sad__,family_death
My daughter called and said they were taking my newborn grandson to the doctor to have a chest xray because he was having some breathing trouble. I worried all day long until I got the phone call telling me everything was ok. They live far away so I tend to worry even more since I can't be there.,__anxious__,family_health
My little grandson was admitted to the hospital a few days ago. He is still having testing and it's so hard to wait around to get the test results back to find out what is wrong.,__anxious__,family_health
"Shortly after my nephew was born, i received a call from my sister informing me that he had a genetic disease.",__sad__,family_health
My son is in so much pain,__sad__,family_health
My mom is having weight loss surgery. Im worried the risks are too dangerous.,__afraid__,family_health
my dad is going to get his heart checked tomorrow. i am so nervous about it.,__apprehensive__,family_health
I am feeling so nervous about my dad going to check his heart tomorrow. I really hope no bad news comes off it.,__apprehensive__,family_health
"My father went to the hospital for abdominal pain. They found a tumor, but the operation to remove it went well. He passed away suddenly a few days after.",__devastated__,family_health
My mother in law was recently placed in hospice and is not expected to live much longer.,__devastated__,family_health
"i hate watching my parents smoke, it makes me really sad to think they could face cancer as a concequence",__sad__,family_health
I sat in the waiting room last weekend and waited and waited to find out how my dad's neck surgery turned out. This was one of those last ditch effort to keep his cervical vertebrae from having to be fused.,__anticipating__,family_health
My cousin had a heart cath and the surgeon sent for me to come to the operating room.,__anxious__,family_health
I was very anxious when my son had his tonsils taken out.,__anxious__,family_health
"My son had to have surgery to remove his tonsils last month. I know it's a routine procedure, but I could not sit down for the entire time and I was so relieved when they said everything went just fine.",__anxious__,family_health
I felt very sad when I found out that my mother had lung cancer 6 months ago.,__devastated__,family_health
My wife's cousin was sent to the hospital and was placed in a medically induced coma with something having to do with his lungs.,__devastated__,family_health
I was sad to hear my mom is in the emergency room again.,__sad__,family_health
My husband might loose his job. I'm not sure what we will do if he does. His company is downsizing.,__terrified__,financial_pressure
After moving I went through a decently long period of unemployment. It was starting to get tough not having a good source of income to support myself.,__sad__,financial_pressure
I got laid off a few months back and was really worried about paying my bills. It was consuming me.,__anxious__,financial_pressure
"I've got a lot of bills that are overdue, and can't afford to pay them yet. I'm really worried about my financial future right now.",__anxious__,financial_pressure
I am highly upset that I'm the only one concerned with earning money for our bills.,__annoyed__,financial_pressure
I can't help feel stressed about money.,__anxious__,financial_pressure
"My husband usually gets a large bonus each year around this time, but there's no guarantee. It's hard waiting, and not knowing!",__anxious__,financial_pressure
I wanna sell my phone but i'm scared to meet people from craigslist,__afraid__,financial_pressure
"I lost my job a few years ago due to cut backs, they weren't making enough money. That job was everything to me.",__devastated__,financial_pressure
I learnt a few days ago my best friend passed away in a car accident. I am still in shock.,__devastated__,family_death
I got a call in the middle of the night during college that one of my best friends had been in a fatal car crash.,__devastated__,family_death
"A few months ago, a good friend of my girlfriend's passed away from a drug overdose. What's worse is, both his ex and his lover at the time kept using. I worry about them.",__sad__,family_death
"A friend of mine was in a car accident. Unfortunately, he did not make it.",__sad__,family_death
I am trying a new diet to treat my Lupus. I really am hoping it works b/c the next steps are some powerful meds that really make me nervous to take,__afraid__,health
"I have been diagnosed with psoriatic arthritis and the pain is horrible. The problem is, the medicine that my doctor wants me to take has side effects that are worse than the pain, so I don't want to take them. That means I have to suffer through the pain.",__afraid__,health
I was very worried the they told me I needed heart surgery.,__afraid__,health
About 6 years ago I was diagnosed with cancer.,__afraid__,health
Having a toothache is irritating,__annoyed__,health
I am on a new diet for my Lupus and it is critical that this work b/c the next steps to take care of my Lupus are very powerful drugs that I don't want to take,__anxious__,health
I have a dentist appointment tomorrow and it's starting to make me a bit nervous. I have to get a filling replaced.,__anxious__,health
I went to the dentist for the first time in five years recently. I had a toothache and wanted to get it looked at,__apprehensive__,health
I hadn't been to the dentist in years but one day I made an appointment. One of my teeth had been bothering me a lot,__apprehensive__,health
"I recently found out that I have been diagnosed HIV positive, and I'm at a complete loss for words. I don't even know how to go on anymore.",__devastated__,health
I have many health problems that have prevented me from having children. I use to be so upset everytime I saw people with children but now I have learned to be content in my situtation,__jealous__,health
"Imagine, I started working out two months ago, only to weigh myself and I have gained some weight.",__disappointed__,health
I ate way too much today! Was suppose to be on a diet. Ate a cupcake and pizza.,__ashamed__,health
I just ate a whole box of cookies.,__ashamed__,health
I felt bad when I cheated on my diet. I found out I gained 2 pounds this past week!,__ashamed__,health
The other day I ate a large amount of Shepard's pie. It was at night right before I went to bed.,__ashamed__,health
I sat in my kitchen eating an entire cake to myself in the middle of the night. I felt so wrong but so great!,__ashamed__,health
I ate all of the candy we had in the house one night. I felt so bad afterwards but it was so great in the moment,__ashamed__,health
I am trying to stop drinking soda and I have prayed and asked God to help me with this. The problem is that I am addicted to soda so I am finding it hard to quit. This causes feelings of guilt.,__guilty__,health
"I feel so bad about myself, ate too many sweets. I'm suppose to be on a diet.",__guilty__,health
I ate like a whole cake last night! It was so good I couldn't stop eating it,__guilty__,health
I went to Aldi the other day and bought a bunch of German chocolate bars. I then sat and stuffed myself and now I feel really bad about it. No self-control!,__guilty__,health
Sometimes at night I wake up and eat extremely unhealthy food. I put peanut butter and Nutella on chocolate chip cookies.,__guilty__,health
"I ate a whole cake by myself, I'm suppose to be on a diet. It's so hard!",__guilty__,health
